,movieid,moviename,genres
3618,50348,The Lincoln Lawyer,80
3619,50348,The Lincoln Lawyer,18
3620,50348,The Lincoln Lawyer,53
3621,48138,Unknown,28
3622,48138,Unknown,9648
3623,48138,Unknown,53
3624,1124,The Prestige,18
3625,1124,The Prestige,9648
3626,1124,The Prestige,53
3627,227159,Horrible Bosses 2,35
3628,68179,Escape from Planet Earth,16
3629,68179,Escape from Planet Earth,35
3630,68179,Escape from Planet Earth,12
3631,68179,Escape from Planet Earth,10751
3632,68179,Escape from Planet Earth,878
3633,1579,Apocalypto,28
3634,1579,Apocalypto,12
3635,1579,Apocalypto,18
3636,1579,Apocalypto,53
3637,708,The Living Daylights,28
3638,708,The Living Daylights,12
3639,708,The Living Daylights,53
3640,34851,Predators,28
3641,34851,Predators,878
3642,34851,Predators,12
3643,34851,Predators,53
3644,9930,Legal Eagles,35
3645,9930,Legal Eagles,80
3646,9930,Legal Eagles,18
3647,9930,Legal Eagles,10749
3648,9930,Legal Eagles,53
3649,1586,Secret Window,53
3650,1586,Secret Window,9648
3651,2044,The Lake House,10749
3652,2044,The Lake House,18
3653,2044,The Lake House,9648
3654,9913,The Skeleton Key,18
3655,9913,The Skeleton Key,27
3656,9913,The Skeleton Key,9648
3657,9913,The Skeleton Key,53
3658,71864,The Odd Life of Timothy Green,14
3659,71864,The Odd Life of Timothy Green,18
3660,71864,The Odd Life of Timothy Green,35
3661,71864,The Odd Life of Timothy Green,10751
3662,10761,Made of Honor,35
3663,10761,Made of Honor,10749
3664,209451,Jersey Boys,10402
3665,209451,Jersey Boys,18
3666,11975,The Rainmaker,18
3667,11975,The Rainmaker,80
3668,11975,The Rainmaker,53
3669,4970,Gothika,27
3670,4970,Gothika,53
3671,11831,Amistad,18
3672,11831,Amistad,36
3673,11831,Amistad,9648
3674,9096,Medicine Man,12
3675,440,Aliens vs Predator: Requiem,14
3676,440,Aliens vs Predator: Requiem,28
3677,440,Aliens vs Predator: Requiem,878
3678,440,Aliens vs Predator: Requiem,53
3679,440,Aliens vs Predator: Requiem,27
3680,11011,Ri¢hie Ri¢h,35
3681,11011,Ri¢hie Ri¢h,10751
3682,10641,Autumn in New York,18
3683,10641,Autumn in New York,10749
3684,11172,Music and Lyrics,35
3685,11172,Music and Lyrics,10402
3686,11172,Music and Lyrics,10749
3687,39513,Paul,12
3688,39513,Paul,35
3689,39513,Paul,878
3690,82687,The Guilt Trip,35
