,g_name,g_id,votecount
10023,Romance,10749,11
10024,Comedy,35,80
10025,Crime,80,80
10026,Thriller,53,80
10027,Romance,10749,80
10028,Comedy,35,67
10029,Drama,18,67
10030,Horror,27,316
10031,Action,28,316
10032,Thriller,53,316
10033,Fantasy,14,102
10034,Drama,18,167
10035,Documentary,99,167
10036,Fantasy,14,8
10037,Adventure,12,8
10038,Drama,18,415
10039,Romance,10749,415
10040,Thriller,53,58
10041,Drama,18,58
10042,Comedy,35,25
10043,Drama,18,25
10044,Thriller,53,25
10045,Drama,18,9
10046,Drama,18,228
10047,Fantasy,14,228
10048,Drama,18,338
10049,Crime,80,23
10050,Comedy,35,23
10051,Romance,10749,23
10052,Crime,80,27
10053,Drama,18,27
10054,Horror,27,27
10055,Thriller,53,27
10056,Comedy,35,26
10057,Comedy,35,6
10058,Foreign,10769,6
10059,Drama,18,18
10060,Crime,80,307
10061,Drama,18,307
10062,Thriller,53,307
10063,Comedy,35,1
10064,Crime,80,1
10065,Comedy,35,2
10066,Romance,10749,2
10067,Drama,18,291
10068,Drama,18,5
10069,Romance,10749,5
10070,Drama,18,36
10071,Drama,18,285
10072,Horror,27,285
10073,Action,28,285
10074,Thriller,53,285
10075,Science Fiction,878,285
10076,Drama,18,7
10077,Drama,18,31
10078,Comedy,35,37
10079,Drama,18,37
10080,Adventure,12,157
10081,Action,28,157
10082,Thriller,53,157
10083,Crime,80,157
10084,Comedy,35,38
10085,Fantasy,14,38
10086,Science Fiction,878,38
10087,Drama,18,23
10088,Drama,18,20
10089,Comedy,35,20
10090,History,36,20
10091,Music,10402,20
10092,Thriller,53,13
10093,Romance,10749,13
10094,Action,28,19
10095,Drama,18,19
10096,History,36,19
10097,Comedy,35,9
10098,Drama,18,9
10099,Romance,10749,9
10100,Horror,27,118
10101,Horror,27,207
10102,Horror,27,8
10103,Comedy,35,20
10104,Romance,10749,20
10105,TV Movie,10770,20
10106,Romance,10749,21
10107,Adventure,12,21
10108,Drama,18,21
10109,Drama,18,89
10110,History,36,89
10111,Drama,18,381
10112,Drama,18,970
10113,Romance,10749,970
10114,War,10752,970
10115,Drama,18,18
10116,War,10752,38
10117,Western,37,38
10118,Action,28,22
10119,Comedy,35,22
10120,Music,10402,22
10121,Romance,10749,22
10122,Western,37,22
10123,Comedy,35,423
10124,Crime,80,423
10125,Drama,18,423
10126,Drama,18,9
10127,Drama,18,195
10128,Action,28,195
10129,Comedy,35,195
10130,Crime,80,195
10131,Music,10402,17
10132,Romance,10749,17
10133,Drama,18,21
10134,Comedy,35,21
10135,Romance,10749,21
10136,Comedy,35,66
10137,Drama,18,66
10138,Drama,18,299
10139,Comedy,35,363
10140,Comedy,35,1074
10141,Thriller,53,11
10142,Adventure,12,11
10143,Action,28,11
10144,Comedy,35,503
10145,Drama,18,173
10146,Action,28,173
